item_id,title,category,size,price,currency,shipping,best_offer,end_time,listed_at,condition,short_desc,seller,seller_feedback,location,listing_type,url,fetched_at,search_query,last_seen,times_seen,presumed_sold,sold_at
v1|267362726868|0,Saint Laurent Paris Q:2 / Wyatt 40 Harness Boots in Camar BWNB 42,Other,S,804.91,GBP,£71.67,True,,2025-08-11T11:21:10.000Z,New with box,,nothingfake37,98.2,US,FIXED_PRICE,https://www.ebay.co.uk/itm/267362726868?_skw=Wyatt+Harness+Boots&hash=item3e400f73d4:g:BzcAAeSwxtFomdJk,2026-03-04T17:30:38.770945,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|267355369919|0,Saint Laurent Paris Q:2 / Wyatt 40 Harness Boots in Camar BNWB 41,Other,S,1006.14,GBP,£78.21,True,,2025-08-05T15:53:31.000Z,New with box,,nothingfake37,98.2,US,FIXED_PRICE,https://www.ebay.co.uk/itm/267355369919?_skw=Wyatt+Harness+Boots&hash=item3e3f9f31bf:g:XhgAAeSwzdVokimz,2026-03-04T17:30:38.770958,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|267355368079|0,Saint Laurent Paris Q:2 / Wyatt 40 Harness Boots in Camar BNWB 41.5,Other,S,804.91,GBP,£71.67,True,,2025-08-05T15:49:53.000Z,New with box,,nothingfake37,98.2,US,FIXED_PRICE,https://www.ebay.co.uk/itm/267355368079?_skw=Wyatt+Harness+Boots&hash=item3e3f9f2a8f:g:BPwAAeSwO4NokilO,2026-03-04T17:30:38.770971,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|197539313465|0,Frye Women's Brown Riding Boots Wyatt Harness Size 9.5B,Other,m,89.83,GBP,£47.90,False,,2025-07-18T06:02:15.000Z,Pre-owned - Good,,pullenthedeals,98.5,US,FIXED_PRICE,https://www.ebay.co.uk/itm/197539313465?_skw=Wyatt+Harness+Boots&hash=item2dfe42b739:g:rr4AAeSwxDtoeeL~,2026-03-04T17:30:38.770987,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|317075336702|0,Sain Laurent Wyatt Harness Boots (US M 9),Other,S,704.3,GBP,£50.22,True,,2025-07-11T16:24:36.000Z,Pre-owned - Good,,biskora3455,94.4,US,FIXED_PRICE,https://www.ebay.co.uk/itm/317075336702?_skw=Wyatt+Harness+Boots&hash=item49d329adfe:g:rusAAeSwSy1ocTpT,2026-03-04T17:30:38.771000,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|306698822954|0,Saint Laurent - Wyatt Burnished-Leather Harness Boots size 43.5 BNWB,Leather,S,590.36,GBP,£53.91,True,,2026-01-07T15:08:54.000Z,New with box,,runway_bargains,100.0,CA,FIXED_PRICE,https://www.ebay.co.uk/itm/306698822954?_skw=Wyatt+Harness+Boots&hash=item4768aca52a:g:nsYAAeSwrepoXs~l,2026-03-04T17:30:38.771007,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|176986957616|0,Saint Laurent YSL Janis Harness Wyatt Platform Pointed Ankle Boots Sz 37.5 $1950,Other,S,262.01,GBP,£40.40,False,,2025-04-06T17:09:38.000Z,Pre-owned - Good,,msa2189681,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/176986957616?_skw=Wyatt+Harness+Boots&hash=item29353ea730:g:fvcAAOSwjshn8rMQ,2026-03-04T17:30:38.771028,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|405603166119|0,Women's Frye Wyatt Western Rustic Brown Leather Ankle Biker Harness Boots Sz 7.5,Leather,m,50.52,GBP,£44.93,False,,2025-03-03T20:35:11.000Z,Pre-owned - Good,,thepinkpicker,96.9,US,FIXED_PRICE,https://www.ebay.co.uk/itm/405603166119?_skw=Wyatt+Harness+Boots&hash=item5e6fd527a7:g:~8YAAeSwiNxnxhI0,2026-03-04T17:30:38.771036,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|335837901786|0,Frye Wyatt Western Rustic Brown Leather Moto Biker Harness Boots 6.5,Leather,s,89.38,GBP,£44.59,False,,2025-03-01T00:53:08.000Z,Pre-owned - Good,,theshespot,98.6,US,FIXED_PRICE,https://www.ebay.co.uk/itm/335837901786?_skw=Wyatt+Harness+Boots&hash=item4e317fb3da:g:jfUAAeSwC0VnwN3U,2026-03-04T17:30:38.771045,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|267158612461|0,Saint Laurent Paris Wyatt 40 Harness Boots in Camar BNWB 42.5,Other,S,1006.14,GBP,£78.21,True,,2025-02-14T06:02:19.000Z,New with box,,nothingfake37,98.2,US,FIXED_PRICE,https://www.ebay.co.uk/itm/267158612461?_skw=Wyatt+Harness+Boots&hash=item3e33e4e9ed:g:mzsAAeSwDmtnrty3,2026-03-04T17:30:38.771058,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|267158611563|0,o1rshd1 Q:2 / Wyatt 40 Harness Boots in Camar  46,Other,s,804.91,GBP,£71.67,True,,2025-02-14T06:00:13.000Z,New with box,,nothingfake37,98.2,US,FIXED_PRICE,https://www.ebay.co.uk/itm/267158611563?_skw=Wyatt+Harness+Boots&hash=item3e33e4e66b:g:jzUAAeSwvfFnrtzs,2026-03-04T17:30:38.771072,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|335753511310|545276035676,SAINT LAURENT Wyatt Harness $1450 Dark Chocolate Suede Ankle Boots New,Suede,S,785.3,GBP,£29.20,False,,2025-01-01T17:49:04.000Z,New with box,,cravingszfashion,99.6,NL,FIXED_PRICE,https://www.ebay.co.uk/itm/335753511310?_skw=Wyatt+Harness+Boots&hash=item4e2c78018e:g:s5YAAOSwDEtndX~l,2026-03-04T17:30:38.771085,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|186766654348|0,Saint Laurent Paris Nut Wyatt Suede Harness Boots 40mm Heel Size 40.5,Suede,S,567.69,GBP,£4.26,True,,2024-11-06T19:02:52.000Z,New without box,,islafisher3,100.0,GB,FIXED_PRICE,https://www.ebay.co.uk/itm/186766654348?_skw=Wyatt+Harness+Boots&hash=item2b7c28fb8c:g:BJEAAOSwdEJm1v5W,2026-03-04T17:30:38.771101,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|235780421394|0,FRYE Wyatt Harness short boots booties Cognac leather 6.5 B EUC,Leather,s,62.88,GBP,£34.41,False,,2024-10-10T19:12:20.000Z,Pre-owned - Excellent,,lorelei6965,99.9,US,FIXED_PRICE,https://www.ebay.co.uk/itm/235780421394?_skw=Wyatt+Harness+Boots&hash=item36e59bb712:g:ORQAAOSw3IZnCCZ2,2026-03-04T17:30:38.771111,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|167597280756|0,Frye Wyatt Harness Brown Leather Western Biker Riding Short Boots Womens Sz 6,Leather,s,85.3,GBP,£36.29,True,,2025-06-18T21:48:29.000Z,Pre-owned - Good,,july*hope,99.3,US,FIXED_PRICE,https://www.ebay.co.uk/itm/167597280756?_skw=Wyatt+Harness+Boots&hash=item2705938df4:g:7sgAAOSwpz1mu9dO,2026-03-04T17:30:38.771131,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|404942478453|0,saint laurent Paris wyatt harness boots Size 42 Archive Heidi Slimane Size 9,Other,s,495.79,GBP,£57.63,False,,2024-04-25T14:07:37.000Z,Pre-owned - Good,,aish_9249,0.0,CA,FIXED_PRICE,https://www.ebay.co.uk/itm/404942478453?_skw=Wyatt+Harness+Boots&hash=item5e4873dc75:g:dMQAAOSwOMlmKmMt,2026-03-04T17:30:38.771146,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|127584587340|0,Saint Laurent wyatt harness boots 41,Other,S,485.85,GBP,£49.42,True,,2025-12-26T03:33:31.000Z,Pre-owned - Excellent,,mrdja82,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/127584587340?_skw=Wyatt+Harness+Boots&hash=item1db4a24e4c:g:XyMAAOSwGR5mJZYp,2026-03-04T17:30:38.771159,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|276390551025|0,Frye Wyatt Harness Short Leather Boots Sand Brown Size 7B,Leather,s,107.8,GBP,£45.06,True,,2024-03-20T14:19:04.000Z,Pre-owned - Good,,estdel76,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/276390551025?_skw=Wyatt+Harness+Boots&hash=item405a291df1:g:x-YAAOSwkDJk81R4,2026-03-04T17:30:38.771168,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|364697023044|0,New Frye 76805 Wyatt Harness Riding Motorcycle Distressed Leather Boots Size 7,Leather,s,157.21,GBP,£50.97,False,,2024-01-24T20:58:23.000Z,New with box,,dharrold000,99.8,US,FIXED_PRICE,https://www.ebay.co.uk/itm/364697023044?_skw=Wyatt+Harness+Boots&hash=item54e9a2f244:g:jUgAAOSw58RlsXhf,2026-03-04T17:30:38.771179,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|276358891435|0,Frye Wyatt Harness Boots Womens Size 7.5 B Bootie Short Boot Brown Leather Strap,Leather,s,61.08,GBP,£40.10,True,,2024-02-29T16:01:06.000Z,Pre-owned - Good,,onav4248,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/276358891435?_skw=Wyatt+Harness+Boots&hash=item40584607ab:g:fyEAAOSw56NlhnGo,2026-03-04T17:30:38.771188,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|325904761821|0,$1450 Saint Laurent YSL Wyatt Harness Boots 41,Other,S,521.78,GBP,£30.96,True,,2023-11-27T20:24:01.000Z,Pre-owned - Good,,xgrishkax-77,99.7,US,FIXED_PRICE,https://www.ebay.co.uk/itm/325904761821?_skw=Wyatt+Harness+Boots&hash=item4be17003dd:g:Av8AAOSwMo9lYV7g,2026-03-04T17:30:38.771202,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|374044507236|0,Saint Laurent Wyatt 40 Harness Boots | YSL 39 | Ebano Brown Suede | BRAND NEW 🔥,Suede,S,889.31,GBP,£57.14,True,,2022-04-27T09:51:41.000Z,New with box,,megarareclothing,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/374044507236?_skw=Wyatt+Harness+Boots&hash=item5716ca3c64:g:faEAAOSwlxZiaREF,2026-03-04T17:30:38.771232,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|154889968206|0,Frye Wyatt Harness Brown Cognac Leather Boots sz 6,Leather,s,134.71,GBP,£25.23,False,,2022-03-09T05:11:24.000Z,Pre-owned - Good,,trendsettingbrands,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/154889968206?_skw=Wyatt+Harness+Boots&hash=item2410295a4e:g:WU0AAOSwGc5iKDNY,2026-03-04T17:30:38.771242,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
v1|255009088325|0,FRYE Wyatt Harness Tall Size 10 Women’s Nubuck Leather Boots New In Box,Leather,s,318.16,GBP,£71.78,False,,2021-06-07T22:53:58.000Z,New with box,,gunnerantiques,100.0,US,FIXED_PRICE,https://www.ebay.co.uk/itm/255009088325?_skw=Wyatt+Harness+Boots&hash=item3b5fb9e345:g:5x8AAOSwuONgvqL8,2026-03-04T17:30:38.771253,Wyatt Harness Boots,2026-03-04T20:39:55.724416,3,False,
